id,company_id,sector,emtak,name,phone,www,email,is_active,final_url,domain,title,status_code,is_marketing
3001,1009,Reklaamiagentuurid,73111,4D PR-lahendused OÜ,+372 5525525,www.4d.ee,keiu.valge@4d.ee,True,https://www.4d.ee/,www.4d.ee,,200,False
5745,3466,Reklaamiagentuuride tegevus,73111,Andropoint OÜ,+372 58160988,www.krispvisual.com,hello@krispvisual.com,True,https://krispvisual.com/,krispvisual.com,krispvisual - visual & graphic design,200,False
9357,6886,Reklaamiagentuurid,73111,Araxes OÜ,+372 5291633,www.araxes.ee,araxes@araxes.ee,True,https://araxes.ee/,araxes.ee,Araxes e-pood | Alkoholipood | Alkohoolsed joogid,200,False
11386,8656,Reklaamiagentuurid,73111,AR Reklaam OÜ,+372 5114179,www.haanjamatkad.ee,info@haanjamatkad.ee,True,http://www.haanjamatkad.ee/,www.haanjamatkad.ee,Haanjamatkad.ee - Tutvustus,200,False
11748,8962,Reklaamiagentuurid,73111,Artega Media OÜ,+372 55552552,http://www.artega.ee,info@artega.ee,True,https://www.artega.ee/,www.artega.ee,Home - Globaalse visiooniga Eesti loovagentuur,200,True
12402,9538,Reklaamiagentuuride tegevus,73111,Art Stitch OÜ,+372 53458549,http://artstitch.eu,info.artstitch@gmail.com,True,https://sites.google.com/view/artstitch,sites.google.com,artstitch.eu,200,False
14813,11343,Reklaamiagentuuride tegevus,73111,Astrograaf OÜ,+372 5109478,https://www.astrograaf.ee/,tanel@astrograaf.ee,True,https://www.astrograaf.ee/,www.astrograaf.ee,Astrograaf - Teeme võimatu võimalikuks,200,True
14911,11425,Reklaamiagentuurid,73111,Asula OÜ,+372 5130191,https://asula.ee/,info@asula.ee,True,https://pvc-hallid.ee/,pvc-hallid.ee,"PVC-hallid, PVC-kardinad, tendid – Asula OÜ",200,False
15555,11950,Reklaamiagentuurid,73111,ATLANTICUS OÜ,+372 5046244,www.atlanticus.ee,kaspar@atlanticus.ee,True,https://www.atlanticus.ee/,www.atlanticus.ee,Atlanticus OÜ,200,False
17407,13516,Reklaamiagentuurid,73111,AutoWrap OÜ,+372 55983547,www.autowrap.ee,info@autowrap.ee,True,https://www.autowrap.ee/,www.autowrap.ee,Esileht – AutoWrap,200,False
20134,15884,Reklaamiagentuurid,73111,Baltic Print & Banners OÜ,+372 56577075,www.balticprint.ee,info@balticprint.ee,False,,,,0,False
21198,16787,Reklaamiagentuurid,73111,BaSolution OÜ,+372 58447352,www.bamarketing.ee,georgi.suikanen@gmail.com,False,,,,0,False
24419,19610,Reklaamiagentuurid,73111,Binaar OÜ,+372 5038753,binaar.ee,info@binaar.ee,False,,,,0,False
26081,21115,Reklaamiagentuurid,73111,BlueRoad OÜ,+358 442933434,blueroad.cc,alexandra@polyakov.org,False,,,,0,False
27644,22526,Reklaamiagentuurid,73111,Branding Kitchen OÜ,+372 51913685,www.branding.ee,ene@branding.ee,True,http://www.branding.ee/,www.branding.ee,OÃ BrandAbout,200,False
27677,22554,Reklaamiagentuurid,73111,Brand-Ninja OÜ,+358 408454951,www.brand-ninja.co,pietro.karjalainen@finnsea.com,True,https://brand-ninja.co/,brand-ninja.co,Top Digital Marketing Agency Vietnam - Brand Ninja,200,True
29783,24405,Reklaamiagentuurid,73111,BY Family OÜ,+372 55530327,http://byprint.ee,info@byprint.ee,True,https://byprint.ee/,byprint.ee,Trükikoda ja trükkimine Tallinnas - ByPrint,200,True
29841,24462,Reklaamiagentuurid,73111,BY Print OÜ,+372 55530327,http://byprint.ee,info@byprint.ee,True,https://byprint.ee/,byprint.ee,Trükikoda ja trükkimine Tallinnas - ByPrint,200,True
30429,24985,Reklaamiagentuurid,73111,CANDY FACTORY OÜ,+372 58666677,http://www.bonbon.ee,info@bonbon.ee,True,https://bonbon.ee/,bonbon.ee,Bonbon.ee,200,False
32287,26633,Reklaamiagentuurid,73111,CERRYN DESIGN OÜ,+372 5110677,www.cerryndesign.com,gerry@cerryndesign.com,True,https://cerryndesign.com/,cerryndesign.com,Cerryn Design/MEIST,200,True
35296,29327,Reklaamiagentuuride tegevus,73111,Colorful World OÜ,+372 56453380,https://www.karmenlehtla.ee,karmenlehtla@gmail.com,True,https://karmenlehtla.ee/,karmenlehtla.ee,"Turundus, graafiline disain ja fotograafia",200,True
37412,31194,Reklaamiagentuurid,73111,Creative Company OÜ,+372 59177527,www.creativecompany.ee,37706280288@eesti.ee,True,https://creativecompany.ee/,creativecompany.ee,Creative Company,200,True
37741,31473,Reklaamiagentuurid,73111,Crimson red OÜ,+372 56957950,www.crimsonred.ee,info@crimsonred.ee,True,http://www.crimsonred.ee/,www.crimsonred.ee,Crimson Red | TrÃ¼kiagentuur,200,False
38481,32142,Reklaamiagentuurid,73111,Cup Advertising OÜ,+372 53413777,www.cupadvertising.eu,mirjam.kasevali@gmail.com,False,,,,0,False
38481,32142,Reklaamiagentuurid,73111,Cup Advertising OÜ,+372 56285270,www.cupadvertising.eu,mirjam.kasevali@gmail.com,False,,,,0,False
40604,34047,Reklaamiagentuurid,73111,DECOREST DISAIN OÜ,+372 5047587,www.decorest.ee,decorest@decorest.ee,True,https://www.decorest.ee/,www.decorest.ee,403 Forbidden,403,False
40718,34149,Reklaamiagentuurid,73111,Deep Reklaam OÜ,+372 5275368,www.deep.ee,info@deep.ee,True,http://www.deep.ee/,www.deep.ee,,200,False
40852,34269,Reklaamiagentuurid,73111,Degustatsioon OÜ,+372 53433711,http://www.degustatsioon.ee,saluri.janne@gmail.com,False,,,,0,False
40852,34269,Reklaamiagentuurid,73111,Degustatsioon OÜ,+372 53947980,http://www.degustatsioon.ee,saluri.janne@gmail.com,False,,,,0,False
42489,35712,Reklaamiagentuurid,73111,DG Evolution OÜ,+372 53470913,www.evolution.ee,tere@evolution.ee,True,http://www.evolution.ee/,www.evolution.ee,,200,False
43196,36334,Reklaamiagentuurid,73111,Digi Ronk OÜ,+372 56917046,www.digironk.ee,info@digironk.ee,True,https://www.digironk.ee/,www.digironk.ee,Web,200,False
43247,36376,Reklaamiagentuurid,73111,Digitaalne turundus OÜ,+372 55606418,https://seopartner.ee/,raidotamar@gmail.com,True,https://seopartner.ee/,seopartner.ee,,200,False
43247,36376,Reklaamiagentuurid,73111,Digitaalne turundus OÜ,+372 55606418,https://raidotamar.ee/,raidotamar@gmail.com,True,https://raidotamar.ee/,raidotamar.ee,Raido Tamar - Kogenuim SEO spetsialist Eesti turul,200,True
43978,37036,Reklaamiagentuurid,73111,Direct Copy OÜ,+33 651924291,http://www.direct-copy.com,david@direct-copy.com,False,,,,0,False
47297,40021,Reklaamiagentuurid,73111,Eastwood Advertising OÜ,+372 5184646,http://eastwood.ee,info@eastwood.ee,True,https://eastwood.ee/,eastwood.ee,"EASTWOOD Advertising - YES, WE CREATE",200,True
