id,company_id,sector,emtak,name,phone,www,email
3001,1009,Reklaamiagentuurid,73111,"4D PR-lahendused OÜ","+372 5525525",www.4d.ee,keiu.valge@4d.ee
5745,3466,"Reklaamiagentuuride tegevus",73111,"Andropoint OÜ","+372 58160988",www.krispvisual.com,hello@krispvisual.com
9357,6886,Reklaamiagentuurid,73111,"Araxes OÜ","+372 5291633",www.araxes.ee,araxes@araxes.ee
11386,8656,Reklaamiagentuurid,73111,"AR Reklaam OÜ","+372 5114179",www.haanjamatkad.ee,info@haanjamatkad.ee
11748,8962,Reklaamiagentuurid,73111,"Artega Media OÜ","+372 55552552",http://www.artega.ee,info@artega.ee
12402,9538,"Reklaamiagentuuride tegevus",73111,"Art Stitch OÜ","+372 53458549",http://artstitch.eu,info.artstitch@gmail.com
14813,11343,"Reklaamiagentuuride tegevus",73111,"Astrograaf OÜ","+372 5109478",https://www.astrograaf.ee/,tanel@astrograaf.ee
14911,11425,Reklaamiagentuurid,73111,"Asula OÜ","+372 5130191",https://asula.ee/,info@asula.ee
15555,11950,Reklaamiagentuurid,73111,"ATLANTICUS OÜ","+372 5046244",www.atlanticus.ee,kaspar@atlanticus.ee
17407,13516,Reklaamiagentuurid,73111,"AutoWrap OÜ","+372 55983547",www.autowrap.ee,info@autowrap.ee
20134,15884,Reklaamiagentuurid,73111,"Baltic Print & Banners OÜ","+372 56577075",www.balticprint.ee,info@balticprint.ee
21198,16787,Reklaamiagentuurid,73111,"BaSolution OÜ","+372 58447352",www.bamarketing.ee,georgi.suikanen@gmail.com
24419,19610,Reklaamiagentuurid,73111,"Binaar OÜ","+372 5038753",binaar.ee,info@binaar.ee
26081,21115,Reklaamiagentuurid,73111,"BlueRoad OÜ","+358 442933434",blueroad.cc,alexandra@polyakov.org
27644,22526,Reklaamiagentuurid,73111,"Branding Kitchen OÜ","+372 51913685",www.branding.ee,ene@branding.ee
27677,22554,Reklaamiagentuurid,73111,"Brand-Ninja OÜ","+358 408454951",www.brand-ninja.co,pietro.karjalainen@finnsea.com
29783,24405,Reklaamiagentuurid,73111,"BY Family OÜ","+372 55530327",http://byprint.ee,info@byprint.ee
29841,24462,Reklaamiagentuurid,73111,"BY Print OÜ","+372 55530327",http://byprint.ee,info@byprint.ee
30429,24985,Reklaamiagentuurid,73111,"CANDY FACTORY OÜ","+372 58666677",http://www.bonbon.ee,info@bonbon.ee
32287,26633,Reklaamiagentuurid,73111,"CERRYN DESIGN OÜ","+372 5110677",www.cerryndesign.com,gerry@cerryndesign.com
35296,29327,"Reklaamiagentuuride tegevus",73111,"Colorful World OÜ","+372 56453380",https://www.karmenlehtla.ee,karmenlehtla@gmail.com
37412,31194,Reklaamiagentuurid,73111,"Creative Company OÜ","+372 59177527",www.creativecompany.ee,37706280288@eesti.ee
37741,31473,Reklaamiagentuurid,73111,"Crimson red OÜ","+372 56957950",www.crimsonred.ee,info@crimsonred.ee
38481,32142,Reklaamiagentuurid,73111,"Cup Advertising OÜ","+372 53413777",www.cupadvertising.eu,mirjam.kasevali@gmail.com
38481,32142,Reklaamiagentuurid,73111,"Cup Advertising OÜ","+372 56285270",www.cupadvertising.eu,mirjam.kasevali@gmail.com
40604,34047,Reklaamiagentuurid,73111,"DECOREST DISAIN OÜ","+372 5047587",www.decorest.ee,decorest@decorest.ee
40718,34149,Reklaamiagentuurid,73111,"Deep Reklaam OÜ","+372 5275368",www.deep.ee,info@deep.ee
40852,34269,Reklaamiagentuurid,73111,"Degustatsioon OÜ","+372 53433711",http://www.degustatsioon.ee,saluri.janne@gmail.com
40852,34269,Reklaamiagentuurid,73111,"Degustatsioon OÜ","+372 53947980",http://www.degustatsioon.ee,saluri.janne@gmail.com
42489,35712,Reklaamiagentuurid,73111,"DG Evolution OÜ","+372 53470913",www.evolution.ee,tere@evolution.ee
43196,36334,Reklaamiagentuurid,73111,"Digi Ronk OÜ","+372 56917046",www.digironk.ee,info@digironk.ee
43247,36376,Reklaamiagentuurid,73111,"Digitaalne turundus OÜ","+372 55606418",https://seopartner.ee/,raidotamar@gmail.com
43247,36376,Reklaamiagentuurid,73111,"Digitaalne turundus OÜ","+372 55606418",https://raidotamar.ee/,raidotamar@gmail.com
43978,37036,Reklaamiagentuurid,73111,"Direct Copy OÜ","+33 651924291",http://www.direct-copy.com,david@direct-copy.com
47297,40021,Reklaamiagentuurid,73111,"Eastwood Advertising OÜ","+372 5184646",http://eastwood.ee,info@eastwood.ee
47297,40021,Reklaamiagentuurid,73111,"Eastwood Advertising OÜ","+372 5221361",http://eastwood.ee,info@eastwood.ee
47297,40021,Reklaamiagentuurid,73111,"Eastwood Advertising OÜ","+372 5270520",http://eastwood.ee,info@eastwood.ee
56369,48363,Reklaamiagentuurid,73111,"Empress OÜ","+372 5065600",https://www.empress.ee,helena@empress.ee
64058,55188,Reklaamiagentuurid,73111,"Experion OÜ","+372 5111404",https://www.experion.ee,info@experion.ee
64189,55288,Reklaamiagentuurid,73111,"Export Digital OÜ","+372 56157146",www.eppcdigital.com,karl@ppc.ee
64453,55535,Reklaamiagentuurid,73111,"FAAZ OÜ","+372 56684793",www.faaz.ee,maria.laanelepp@gmail.com
64570,55639,Reklaamiagentuurid,73111,"Factory Advertising OÜ","+372 5229093",https://factory.ee,info@factory.ee
66285,57159,Reklaamiagentuurid,73111,"Festech OÜ","+372 5537536",www.toitlustuspartner.ee,info@toitlustuspartner.ee
71448,61729,Reklaamiagentuurid,73111,"Free Wave OÜ","+372 5236720",http://www.freewave.ee,info@freewave.ee
72680,62828,Reklaamiagentuurid,73111,"Future Media OÜ","+372 5071300",www.futuremedia.ee,info@futuremedia.ee
74466,64473,Reklaamiagentuurid,73111,"GE Healthcare Estonia OÜ","+372 5027390",www.gehealthcare.com,ZaneLiepa@gehealthcare.com
74667,64656,Reklaamiagentuurid,73111,"General Marketing OÜ","+372 55650829",www.programm.ee,info@programm.ee
85873,75062,Reklaamiagentuurid,73111,"Hello World OÜ","+372 5061993",https://www.headreisi.ee/,liis@headreisi.ee
86579,75687,Reklaamiagentuurid,73111,"Heris OÜ","+372 58026523",www.heris.ee,henri@heris.ee
92897,81476,Reklaamiagentuurid,73111,"ICESTUDIO OÜ","+372 53471848",www.icestudio.ee,info@icestudio.ee
95004,83361,Reklaamiagentuurid,73111,"Imagine AD OÜ","+372 53473051",www.imagine.ee,helen@imagine.ee
95420,83741,Reklaamiagentuurid,73111,"Impressive OÜ","+372 53455411",http://www.impressive.ee,karl@impressive.ee
95839,84094,Reklaamiagentuurid,73111,"Indie AD OÜ","+372 55500250",https://indiead.ee,info@indiead.ee
104773,92146,Reklaamiagentuurid,73111,"JM Turundus OÜ","+372 58308189",www.jmm.ee,info@jmm.ee
